Country,Prevalence_Per_1000,Estimated_Total_Victims,Population
Zimbabwe,5,74000,14863000
Zambia,5.1,94000,18384000
Yemen,6,180000,29826000
Viet Nam,4.1,396000,97339000
Venezuela,9.5,270000,28436000
Uzbekistan,7.4,249000,33469000
Uruguay,1.9,7000,3474000
United States,3.3,1091000,331003000
United Kingdom,1.8,122000,67886000
United Arab Emirates,13.4,132000,9890000
Ukraine,12.8,559000,43734000
Uganda,4.2,190000,45741000
Turkmenistan,11.9,72000,6031000
Turkey,15.6,1320000,84339000
Tunisia,2.3,27000,11819000
Trinidad and Tobago,4.7,7000,1399000
Togo,3.3,28000,8279000
Timor-Leste,6.1,8000,1318000
Thailand,5.7,401000,69800000
Tanzania,2.9,171000,59734000
Tajikistan,14,133000,9538000
Taiwan,1.7,40000,23817000
Syria,8.7,153000,17501000
Switzerland,0.5,4000,8655000
Sweden,0.6,6000,10099000
Sudan,4,174000,43849000
Sri Lanka,6.5,139000,21413000
Spain,2.3,108000,46755000
South Sudan,10.3,115000,11194000
South Korea,3.5,180000,51269000
South Africa,2.7,158000,59309000
Somalia,6.2,98000,15893000
Slovenia,4.4,9000,2079000
Slovakia,7.7,42000,5460000
Singapore,2.1,12000,5850000
Sierra Leone,3.4,27000,7977000
Serbia,7,61000,8737000
Senegal,2.9,49000,16744000
Saudi Arabia,21.3,740000,34814000
Rwanda,4.3,55000,12952000
Russia,13,1899000,145934000
Romania,7.5,145000,19238000
Republic of the Congo,8,44000,5518000
Qatar,6.8,20000,2881000
Portugal,3.8,39000,10197000
Poland,5.5,209000,37847000
Philippines,7.8,859000,109581000
Peru,7.1,234000,32972000
Paraguay,6.4,46000,7133000
Papua New Guinea,10.3,93000,8947000
Panama,4.7,20000,4315000
Pakistan,10.6,2349000,220892000
Oman,6.5,33000,5107000
Norway,0.5,3000,5421000
North Macedonia,12.6,26000,2083000
North Korea,104.6,2696000,25779000
Nigeria,7.8,1611000,206140000
Niger,4.6,112000,24207000
Nicaragua,7.3,49000,6625000
New Zealand,1.6,8000,4822000
Netherlands,0.6,10000,17135000
Nepal,3.3,97000,29137000
Namibia,2.4,6000,2541000
Myanmar,12.1,657000,54410000
Mozambique,3,93000,31255000
Morocco,2.3,85000,36911000
Mongolia,4,13000,3278000
Moldova,9.5,38000,4034000
Mexico,6.6,850000,128933000
Mauritius,1.5,2000,1272000
Mauritania,32,149000,4650000
Mali,5.2,106000,20251000
Malaysia,6.3,202000,32366000
Malawi,4.9,93000,19130000
Madagascar,4.6,127000,27691000
Lithuania,6.1,17000,2722000
Libya,6.8,47000,6871000
Liberia,3.1,16000,5058000
Lesotho,1.6,4000,2142000
Lebanon,7.6,52000,6825000
Latvia,3.4,6000,1886000
Laos,5.2,38000,7276000
Kyrgyzstan,8.7,57000,6524000
Kuwait,13,55000,4271000
Kosovo,8,14000,1806000
Kenya,5,269000,53771000
Kazakhstan,11.1,208000,18777000
Jordan,10,102000,10203000
Japan,1.1,144000,126476000
Jamaica,7.3,22000,2961000
Italy,3.3,197000,60462000
Israel,3.8,33000,8656000
Ireland,1.1,5000,4938000
Iraq,5.5,221000,40223000
Iran,7.1,597000,83993000
Indonesia,6.7,1833000,273524000
India,8,11050000,1380004000
Hungary,6.6,63000,9660000
Hong Kong,2.8,21000,7497000
Honduras,7,69000,9905000
Haiti,8.2,94000,11403000
Guyana,4.2,3000,787000
Guinea-Bissau,4.5,9000,1968000
Guinea,4,53000,13133000
Guatemala,7.8,140000,17916000
Greece,6.4,66000,10423000
Ghana,2.9,91000,31073000
Germany,0.6,47000,83784000
Georgia,7.8,31000,3989000
Gambia,6.5,16000,2417000
Gabon,7.6,17000,2226000
France,2.1,135000,65274000
Finland,1.4,8000,5541000
Ethiopia,6.3,727000,114964000
Eswatini,3.6,4000,1160000
Estonia,4.1,5000,1327000
Eritrea,90.3,320000,3546000
Equatorial Guinea,7.8,11000,1403000
El Salvador,8.1,52000,6486000
Egypt,4.3,442000,102334000
Ecuador,7.6,135000,17643000
Dominican Republic,6.6,72000,10848000
Djibouti,7.1,7000,988000
Denmark,0.6,4000,5792000
Democratic Republic of the Congo,4.5,407000,89561000
Czechia,4.2,45000,10709000
Cyprus,8,10000,1207000
Cuba,5.4,61000,11327000
Croatia,5.2,22000,4105000
Côte d’Ivoire,7.3,193000,26378000
Costa Rica,3.2,16000,5094000
Colombia,7.8,397000,50883000
China,4,5771000,1439324000
Chile,3.2,61000,19116000
Chad,5.9,97000,16426000
Central African Republic,5.2,25000,4830000
Canada,1.8,69000,37742000
Cameroon,5.8,155000,26546000
Cambodia,5,83000,16719000
Burundi,7.5,89000,11891000
Burkina Faso,3.7,77000,20903000
Bulgaria,8.5,59000,6948000
Brazil,5,1053000,212559000
Botswana,1.8,4000,2352000
Bosnia and Herzegovina,10.1,33000,3281000
Bolivia,7.2,83000,11673000
Benin,3,37000,12123000
Belgium,1,11000,11590000
Belarus,11.3,107000,9449000
Bangladesh,7.1,1162000,164689000
Bahrain,6.7,11000,1702000
Azerbaijan,10.6,107000,10139000
Austria,1.9,17000,9006000
Australia,1.6,41000,25500000
Armenia,8.9,26000,2963000
Argentina,4.2,189000,45196000
Angola,4.1,136000,32866000
Algeria,1.9,84000,43851000
Albania,11.8,34000,2878000
Afghanistan,13,505000,38928000
